Date,Avg_Magnitude_Forecast,Avg_Magnitude_Lower_CI,Avg_Magnitude_Upper_CI,Date,Meteor_Count_Forecast,Meteor_Count_Lower_CI,Meteor_Count_Upper_CI,Date,Peak_Activity_Forecast,Peak_Activity_Lower_CI,Peak_Activity_Upper_CI
,,,,2024-04-29 00:20:00,8.836563529988939e-77,-6744.139034832838,6744.139034832838,2024-04-29 00:20:00,3.975567599750751e-33,-0.02454524003610004,0.02454524003610004
2024-04-29 20:30:00,23313.43791063791,23203.235671512342,23423.640149763476,,,,,,,,
,,,,2024-04-30 00:20:00,1.398280945378343e-76,-9409.888955117305,9409.888955117305,2024-04-30 00:20:00,6.998640172838406e-33,-0.0340983729750142,0.0340983729750142
2024-04-30 20:30:00,23315.809154609153,23159.959653433896,23471.65865578441,,,,,,,,
,,,,2024-05-01 00:20:00,1.5755718549165314e-76,-10910.458085934562,10910.458085934562,2024-05-01 00:20:00,8.849078562297625e-33,-0.03905160791438856,0.03905160791438856
2024-05-01 20:30:00,23318.180398580396,23127.30452130706,23509.05627585373,,,,,,,,
,,,,2024-05-02 00:20:00,1.6800156409311098e-76,-12215.906348213835,12215.906348213835,2024-05-02 00:20:00,1.0268574628166754e-32,-0.04331396951471307,0.04331396951471307
2024-05-02 20:30:00,23320.55164255164,23100.14716430051,23540.95612080277,,,,,,,,
,,,,2024-05-03 00:20:00,1.6055036528008297e-76,-12997.820093978005,12997.820093978005,2024-05-03 00:20:00,1.1129523146070006e-32,-0.04634697240500011,0.04634697240500011
2024-05-03 20:30:00,23322.922886522883,23076.50318856543,23569.342584480335,,,,,,,,
,,,,2024-05-04 00:20:00,1.5590399572752442e-76,-13732.682073288974,13732.682073288974,2024-05-04 00:20:00,1.179627268798407e-32,-0.04916561326925415,0.04916561326925415
2024-05-04 20:30:00,23325.294130494127,23055.354876124315,23595.23338486394,,,,,,,,
,,,,2024-05-05 00:20:00,1.521941186322814e-76,-14409.715725413367,14409.715725413367,2024-05-05 00:20:00,1.2196669552541602e-32,-0.051496385747209765,0.051496385747209765
2024-05-05 20:30:00,23327.66537446537,23036.09765581665,23619.23309311409,,,,,,,,
,,,,2024-05-06 00:20:00,1.4988307270286813e-76,-15055.221255450773,15055.221255450773,2024-05-06 00:20:00,1.2509958128495782e-32,-0.05372324372606612,0.05372324372606612
2024-05-06 20:30:00,23330.036618436614,23018.337616086097,23641.73562078713,,,,,,,,
,,,,2024-05-07 00:20:00,1.5006281571238608e-76,-15708.318717413887,15708.318717413887,2024-05-07 00:20:00,1.2696079938074813e-32,-0.05571844365050167,0.05571844365050167
2024-05-07 20:30:00,23332.407862407857,23001.80114503116,23663.014579784554,,,,,,,,
,,,,2024-05-08 00:20:00,1.502052320271079e-76,-16336.014673159736,16336.014673159736,2024-05-08 00:20:00,1.2843341945802438e-32,-0.057647119866925715,0.057647119866925715
2024-05-08 20:30:00,23334.7791063791,22986.28902749179,23683.26918526641,,,,,,,,
,,,,2024-05-09 00:20:00,1.507037032220924e-76,-16948.8139567499,16948.8139567499,2024-05-09 00:20:00,1.292981429612016e-32,-0.05944969653376588,0.05944969653376588
2024-05-09 20:30:00,23337.150350350345,22971.65087211382,23702.64982858687,,,,,,,,
,,,,2024-05-10 00:20:00,1.5103518168611015e-76,-17540.76211744942,17540.76211744942,2024-05-10 00:20:00,1.2999063197430718e-32,-0.06120202174967744,0.06120202174967744
2024-05-10 20:30:00,23339.521594321588,22957.76983977492,23721.273348868257,,,,,,,,
,,,,2024-05-11 00:20:00,1.5111379937532307e-76,-18111.029146570538,18111.029146570538,2024-05-11 00:20:00,1.3039215347476744e-32,-0.06287656054208164,0.06287656054208164
2024-05-11 20:30:00,23341.89283829283,22944.55301445466,23739.232662131002,,,,,,,,
,,,,2024-05-12 00:20:00,1.511619520106075e-76,-18663.884575051943,18663.884575051943,2024-05-12 00:20:00,1.307179327350182e-32,-0.06450971430216021,0.06450971430216021
2024-05-12 20:30:00,23344.264082264075,22931.925060200872,23756.603104327278,,,,,,,,
